Date,Open,High,Low,Close,Adj Close,Volume
2011-05-13,23.882175,23.912388,23.527189,23.723564,10.199780,23454925
2011-05-16,23.655588,23.708460,23.421450,23.459215,10.086124,42626710
2011-05-17,23.429003,23.617825,23.338369,23.504532,10.105605,27778844
2011-05-18,23.534742,23.602718,23.353474,23.564955,10.131583,23507488
2011-05-19,23.625378,23.761330,23.519636,23.716011,10.196530,19483984
2011-05-20,23.678247,23.995468,23.557402,23.655588,10.170553,22301191
2011-05-23,23.413897,23.534742,23.368580,23.474319,10.092619,23978170
2011-05-24,23.474319,23.640484,23.436556,23.534742,10.118596,22956571
2011-05-25,23.361027,23.587612,23.353474,23.413897,10.066639,24066348
2011-05-26,23.398792,23.610271,23.368580,23.496979,10.102361,26718188
2011-05-27,23.580059,23.678247,23.406343,23.632931,10.160810,22837014
2011-05-31,23.776436,23.904835,23.655588,23.836859,10.248490,31365428
2011-06-01,23.738670,23.851965,23.496979,23.542295,10.121845,29328056
2011-06-02,23.542295,23.595165,23.255287,23.391239,10.056898,23083146
2011-06-03,23.111782,23.315710,23.051359,23.149548,9.952985,28872600
2011-06-06,23.074018,23.111782,22.922960,22.930513,9.858810,23787249
2011-06-07,23.006042,23.119335,22.892750,22.892750,9.842576,21177115
2011-06-08,22.817221,23.058912,22.741692,22.915407,9.852321,27651078
2011-06-09,22.892750,23.066465,22.817221,22.907854,9.849070,22113845
2011-06-10,22.862537,23.074018,22.817221,22.915407,9.852321,31355762
2011-06-13,22.870090,23.293051,22.847431,23.074018,9.920512,30908515
2011-06-14,23.217524,23.361027,23.149548,23.255287,9.998451,26567384
2011-06-15,23.134441,23.209970,22.824774,22.922960,9.855563,32109118
2011-06-16,22.832327,23.006042,22.787008,22.983383,9.881541,25047564
2011-06-17,23.149548,23.376133,23.119335,23.240181,9.991951,36906632
2011-06-20,23.157101,23.504532,23.126888,23.383686,10.053650,23149081
2011-06-21,23.512085,23.670694,23.391239,23.496979,10.102361,47697762
2011-06-22,23.421450,23.534742,23.323263,23.323263,10.027670,23608774
2011-06-23,23.126888,23.217524,22.877644,23.202417,9.975714,32439589
2011-06-24,23.240181,23.255287,22.990936,22.990936,9.884789,26714348
2011-06-27,23.149548,23.368580,23.036255,23.232628,9.988703,24829502
2011-06-28,23.323263,23.444109,23.232628,23.429003,10.073133,22791468
2011-06-29,23.534742,23.700907,23.481873,23.610271,10.151068,26446238
2011-06-30,23.708460,23.791540,23.648035,23.723564,10.199780,53799548
2011-07-01,23.731117,23.965258,23.700907,23.927492,10.287457,26518926
2011-07-05,23.972811,24.003021,23.836859,23.889729,10.271221,27652534
2011-07-06,23.678247,23.708460,23.496979,23.587612,10.327209,23921502
2011-07-07,23.602718,23.648035,23.466766,23.587612,10.327209,29117805
2011-07-08,23.451662,23.632931,23.429003,23.519636,10.297449,24681743
2011-07-11,23.345921,23.391239,23.187311,23.262840,10.185019,25590404
2011-07-12,23.179758,23.519636,23.179758,23.240181,10.175095,28536834
2011-07-13,23.308157,23.481873,23.202417,23.277946,10.191633,20852603
2011-07-14,23.300604,23.361027,23.066465,23.096678,10.112271,28750660
2011-07-15,23.187311,23.187311,22.809668,22.892750,10.022983,43644733
2011-07-18,22.787008,22.794561,22.530210,22.749245,9.960154,29087221
2011-07-19,22.779455,22.922960,22.635952,22.907854,10.029597,28359683
2011-07-20,22.907854,22.938066,22.719032,22.832327,9.996528,26278752
2011-07-21,23.006042,23.217524,22.839878,22.870090,10.013064,50205948
2011-07-22,22.688822,22.930513,22.522659,22.900303,10.026292,36445483
2011-07-25,22.666162,22.787008,22.545317,22.590633,9.890706,28135397
2011-07-26,22.590633,22.734138,22.567976,22.613293,9.900632,23598049
2011-07-27,22.583082,22.817221,22.567976,22.628399,9.907247,35769714
2011-07-28,22.605740,22.756798,21.971298,22.099697,9.675762,65698998
2011-07-29,21.895769,22.160122,21.729607,22.099697,9.675762,36404439
2011-08-01,22.703926,22.719032,22.054380,22.296074,9.761744,37703548
2011-08-02,22.250755,22.356495,21.978851,22.039274,9.649311,38673510
2011-08-03,22.046827,22.303625,21.903322,22.280968,9.755129,36434626
2011-08-04,22.039274,22.069487,21.737160,21.737160,9.517042,58761371
2011-08-05,21.941088,22.114803,21.306646,21.850452,9.566639,71205382
2011-08-08,21.382175,21.835346,20.808157,20.921450,9.159903,95320321
2011-08-09,21.155588,21.827795,20.641994,21.790030,9.540189,101431640
2011-08-10,21.835346,21.888218,20.959215,21.057402,9.219423,82072642
2011-08-11,21.163141,21.661631,21.004532,21.480364,9.404608,69705025
2011-08-12,21.858006,21.858006,21.148035,21.314199,9.331858,56385320
2011-08-15,21.525681,21.790030,21.404835,21.759819,9.526959,34676752
2011-08-16,21.540785,21.835346,21.487915,21.744713,9.520348,29005000
2011-08-17,21.858006,22.129910,21.827795,22.031721,9.646008,34004424
2011-08-18,21.865559,21.941088,21.299093,21.495468,9.411222,60700898
2011-08-19,21.291540,21.616314,21.140484,21.140484,9.255799,50331860
2011-08-22,21.661631,21.661631,21.351965,21.487915,9.407914,47512005
2011-08-23,21.480364,21.888218,21.457705,21.888218,9.583176,39287449
2011-08-24,21.805136,22.280968,21.744713,22.228098,9.731982,33160507
2011-08-25,22.212992,22.386707,21.865559,21.948641,9.609631,31502329
2011-08-26,21.812689,22.061934,21.487915,21.933535,9.603017,30105774
2011-08-29,22.167673,22.258308,22.024170,22.099697,9.675762,30866544
2011-08-30,22.137463,22.507553,22.084593,22.371601,9.794811,29977743
2011-08-31,22.552870,22.583082,21.148035,21.510574,9.417835,149624710
2011-09-01,21.593657,21.676737,21.336859,21.351965,9.348392,49874286
2011-09-02,21.193354,21.427492,21.163141,21.185801,9.275642,35030127
2011-09-06,21.102718,21.140484,20.785498,21.019636,9.202891,44342216
2011-09-07,21.200907,21.246223,21.019636,21.246223,9.302094,32483546
2011-09-08,21.125378,21.246223,21.072508,21.117825,9.245879,29022610
2011-09-09,20.996979,21.042295,20.747734,20.800604,9.106995,47628384
2011-09-12,20.619335,21.087612,20.611782,21.057402,9.219423,33830583
2011-09-13,21.049849,21.329306,20.951662,21.238670,9.298787,31846040
2011-09-14,21.283989,21.525681,20.936556,21.344412,9.345084,30588769
2011-09-15,21.314199,21.638973,21.291540,21.555891,9.437677,28870350
2011-09-16,21.767372,21.858006,21.555891,21.858006,9.569946,45362888
2011-09-19,21.555891,21.654079,21.382175,21.586103,9.450902,28662614
2011-09-20,21.729607,22.039274,21.654079,21.790030,9.540189,27336098
2011-09-21,21.842899,21.895769,21.351965,21.374622,9.358315,34224738
2011-09-22,21.087612,21.200907,20.740181,20.959215,9.176437,166822279
